Outil	Cluster	Gènes	État AA
glimmer	Cluster 0	gene_7160:c(1116986-1126585); Chr02:1116986-1126585(-)	OK
glimmer	Cluster 1	gene_480:c(203272-210270); Chr01:203272-210270(-)	OK
glimmer	Cluster 2	gene_15500:479880-485978	Gène non prédit
glimmer	Cluster 3	gene_9490:c(857414-863245); Chr03:857414-863245(-)	OK
glimmer	Cluster 4	gene_5030:c(291482-296689); Chr02:291482-296689(-)	OK
glimmer	Cluster 5	gene_5620:c(517784-522841); Chr02:517784-522841(-)	OK
glimmer	Cluster 6	gene_10480:1239836-1244746; Chr03:1239836-1244746(+)	OK
glimmer	Cluster 7	gene_10540:1268262-1273112; Chr03:1268262-1273112(+)	OK
glimmer	Cluster 8	gene_1310:c(498242-502846); Chr01:498242-502846(-)	OK
glimmer	Cluster 9	gene_5940:624983-629479; Chr02:624983-629479(+)	OK
glimmer	Cluster 10	gene_6860:c(1027628-1031854); Chr02:1027628-1031854(-)	OK
glimmer	Cluster 11	gene_11420:c(335162-339364); Chr04:335162-339364(-)	OK
glimmer	Cluster 12	gene_13390:c(241624-245796); Chr05:241624-245796(-); Chr06:241624-245796(-)	OK
glimmer	Cluster 13	gene_10550:40155-44324; Chr04:40155-44324(+)	OK
glimmer	Cluster 14	gene_17810:19817-23986; Chr08:19817-23986(+)	OK
glimmer	Cluster 15	gene_10860:c(137123-141271); Chr04:137123-141172(-)	Différent (Différence au début: 141271 vs 141172)
glimmer	Cluster 16	gene_14620:c(27278-31174)	Gène non prédit
glimmer	Cluster 17	gene_14890:c(179541-183434)	Gène non prédit
glimmer	Cluster 18	gene_14070:c(595520-599341); Chr05:595520-599341(-); Chr06:595520-599341(-)	OK
glimmer	Cluster 19	gene_580:c(246406-250215); Chr01:246406-250215(-)	OK
glimmer	Cluster 20	gene_10820:127118-130858; Chr04:127127-130858(+)	Différent (Différence au début: 127118 vs 127127)
glimmer	Cluster 21	gene_21790:c(68466-72200); Chr11:68466-72200(-)	OK
glimmer	Cluster 22	gene_23590:351297-355031; Chr12:351297-355031(+)	OK
glimmer	Cluster 23	gene_7080:c(1081490-1085152); Chr02:1081490-1085152(-)	OK
glimmer	Cluster 24	gene_10780:101943-105596; Chr04:102015-105596(+)	Différent (Différence au début: 101943 vs 102015)
glimmer	Cluster 25	gene_10800:117649-121302; Chr04:117649-121302(+)	OK
glimmer	Cluster 26	gene_10840:132704-136315; Chr04:132788-136315(+)	Différent (Différence au début: 132704 vs 132788)
glimmer	Cluster 27	gene_7790:1360447-1363977; Chr02:1360447-1363977(+)	OK
glimmer	Cluster 28	gene_21450:c(461662-465153); Chr10:461662-465153(-)	OK
glimmer	Cluster 29	gene_10970:c(178042-181521); Chr04:178042-181521(-)	OK
glimmer	Cluster 30	gene_110:c(90620-94048); Chr01:90620-93688(-)	Différent (Différence au début: 94048 vs 93688)
glimmer	Cluster 31	gene_9430:840469-843849; Chr03:840883-843849(+)	Différent (Différence au début: 840469 vs 840883)
glimmer	Cluster 32	gene_6700:970622-973987; Chr02:970622-973987(+)	OK
glimmer	Cluster 33	gene_13350:c(227395-230745); Chr05:227395-230745(-); Chr06:227395-230745(-)	OK
glimmer	Cluster 34	gene_11150:c(239844-243143); Chr04:239844-243122(-)	Différent (Différence au début: 243143 vs 243122)
glimmer	Cluster 35	gene_25930:c(59551-62772); Chr15:59551-62772(-)	OK
glimmer	Cluster 36	gene_5800:c(567925-571143); Chr02:567925-570939(-)	Différent (Différence au début: 571143 vs 570939)
glimmer	Cluster 37	gene_8790:c(510237-513416); Chr03:510237-513416(-)	OK
glimmer	Cluster 38	gene_18810:432582-435701; Chr08:432657-435701(+)	Différent (Différence au début: 432582 vs 432657)
glimmer	Cluster 39	gene_16060:673058-676153	Gène non prédit
glimmer	Cluster 40	gene_2640:884433-887510; Chr01:884433-887510(+)	OK
glimmer	Cluster 41	gene_18320:c(188612-191665); Chr08:188612-191665(-)	OK
glimmer	Cluster 42	gene_16540:c(141435-144479); Chr07:141435-144479(-)	OK
glimmer	Cluster 43	gene_6400:c(908116-911148); Chr02:908116-911148(-)	OK
glimmer	Cluster 44	gene_19130:c(530068-533100); Chr08:530068-533100(-)	OK
glimmer	Cluster 45	gene_10650:77160-80177; Chr04:77208-80177(+)	Différent (Différence au début: 77160 vs 77208)
glimmer	Cluster 46	gene_10180:c(1130587-1133583); Chr03:1130587-1133583(-)	OK
glimmer	Cluster 47	gene_21140:297885-300869; Chr10:297885-300869(+)	OK
glimmer	Cluster 48	gene_140:c(99115-102078); Chr01:99115-102078(-)	OK
glimmer	Cluster 49	gene_11650:409897-412860; Chr04:409897-412860(+)	OK
glimmer	Cluster 50	gene_23370:264065-267001; Chr12:264065-267001(+)	OK
glimmer	Cluster 51	gene_490:214238-217153; Chr01:214367-217153(+)	Différent (Différence au début: 214238 vs 214367)
glimmer	Cluster 52	gene_4550:142754-145660; Chr02:143159-145660(+)	Différent (Différence au début: 142754 vs 143159)
glimmer	Cluster 53	gene_11120:c(227311-230196); Chr04:227311-230070(-)	Différent (Différence au début: 230196 vs 230070)
glimmer	Cluster 54	gene_8470:297291-300152; Chr03:297291-300152(+)	OK
glimmer	Cluster 55	gene_5240:c(376770-379625); Chr02:376770-379625(-)	OK
glimmer	Cluster 56	gene_17680:c(691306-694143); Chr07:691306-694143(-)	OK
glimmer	Cluster 57	gene_7860:c(46916-49729); Chr03:46916-49729(-)	OK
glimmer	Cluster 58	gene_11200:260962-263772; Chr04:260962-263772(+)	OK
glimmer	Cluster 59	gene_22020:167352-170162; Chr11:167352-170162(+)	OK
glimmer	Cluster 60	gene_17410:611976-614780; Chr07:612057-614780(+)	Différent (Différence au début: 611976 vs 612057)
glimmer	Cluster 61	gene_3790:c(1287299-1290094); Chr01:1287299-1290094(-)	OK
glimmer	Cluster 62	gene_10110:1107796-1110576; Chr03:1107796-1110576(+)	OK
glimmer	Cluster 63	gene_15340:c(419194-421971)	Gène non prédit
glimmer	Cluster 64	gene_1050:c(414234-416999); Chr01:414234-416999(-)	OK
glimmer	Cluster 65	gene_1500:c(568134-570884); Chr01:568134-570884(-)	OK
glimmer	Cluster 66	gene_5290:c(395943-398681); Chr02:395943-398681(-)	OK
glimmer	Cluster 67	gene_2180:757493-760201; Chr01:757493-760201(+)	OK
glimmer	Cluster 68	gene_960:c(367334-370039); Chr01:367334-370039(-)	OK
glimmer	Cluster 69	gene_26840:56575-59277; Chr17:56575-59277(+)	OK
glimmer	Cluster 70	gene_2270:772737-775433; Chr01:772683-775433(+)	Différent (Différence au début: 772737 vs 772683)
glimmer	Cluster 71	gene_8230:200537-203194; Chr03:200537-203194(+)	OK
glimmer	Cluster 72	gene_15570:507485-510142	Gène non prédit
