Outil	Cluster	Gènes	État AA
glimmer	Cluster 0	CM017449.1ANTONOSPOR:c(134008-143079); CM017449.1:134008-143079(-)	OK
glimmer	Cluster 1	CM017449.1ANTONOSPOR:221806-229752; CM017449.1:221848-229752(+)	Différent (Différence au début: 221806 vs 221848)
glimmer	Cluster 2	CM017450.1ANTONOSPOR:93658-99591; CM017450.1:93658-99591(+)	OK
glimmer	Cluster 3	CM017452.1ANTONOSPOR:39008-44785; CM017452.1:39290-44785(+)	Différent (Différence au début: 39008 vs 39290)
glimmer	Cluster 4	CM017456.1ANTONOSPOR:119338-125067; CM017456.1:119338-125067(+)	OK
glimmer	Cluster 5	CM017447.1ANTONOSPOR:c(65129-70633); CM017447.1:65129-70633(-)	OK
glimmer	Cluster 6	CM017447.1ANTONOSPOR:276238-281274; CM017447.1:276237-281273(+)	OK
glimmer	Cluster 7	CM017452.1ANTONOSPOR:49868-54733; CM017452.1:49868-54733(+)	OK
glimmer	Cluster 8	CM017455.1ANTONOSPOR:137448-142136; CM017455.1:137448-142136(+)	OK
glimmer	Cluster 9	CM017458.1ANTONOSPOR:27332-31993; CM017458.1:27332-31993(+)	OK
glimmer	Cluster 10	CM017455.1ANTONOSPOR:121805-126181; CM017455.1:121805-126181(+)	OK
glimmer	Cluster 11	CM017453.1ANTONOSPOR:147579-151865; CM017453.1:147577-151863(+)	OK
glimmer	Cluster 12	CM017462.1ANTONOSPOR:c(32788-37038); CM017462.1:32788-36972(-)	Différent (Différence au début: 37038 vs 36972)
glimmer	Cluster 13	CM017447.1ANTONOSPOR:31384-35604; CM017447.1:31477-35604(+)	Différent (Différence au début: 31384 vs 31477)
glimmer	Cluster 14	CM017448.1ANTONOSPOR:155173-159255; CM017448.1:155173-159255(+)	OK
glimmer	Cluster 15	CM017447.1ANTONOSPOR:c(173617-177624); CM017447.1:173617-177624(-)	OK
glimmer	Cluster 16	CM017450.1ANTONOSPOR:c(182604-186512); CM017450.1:182604-186512(-)	OK
glimmer	Cluster 17	CM017452.1ANTONOSPOR:176730-180623; CM017452.1:176868-180623(+)	Différent (Différence au début: 176730 vs 176868)
glimmer	Cluster 18	CM017453.1ANTONOSPOR:106174-110052; CM017453.1:106172-110050(+)	OK
glimmer	Cluster 19	CM017455.1ANTONOSPOR:2732-6562; CM017455.1:2558-6562(+)	Différent (Différence au début: 2732 vs 2558)
glimmer	Cluster 20	CM017447.1ANTONOSPOR:c(39657-43457); CM017447.1:39657-43412(-)	Différent (Différence au début: 43457 vs 43412)
glimmer	Cluster 21	CM017447.1ANTONOSPOR:368064-371804; CM017447.1:368063-371803(+)	OK
glimmer	Cluster 22	CM017456.1ANTONOSPOR:c(115264-118977); CM017456.1:115264-118947(-)	Différent (Différence au début: 118977 vs 118947)
glimmer	Cluster 23	CM017447.1ANTONOSPOR:c(79684-83340); CM017447.1:79684-83109(-)	Différent (Différence au début: 83340 vs 83109)
glimmer	Cluster 24	CM017451.1ANTONOSPOR:59919-63560; CM017451.1:60102-63560(+)	Différent (Différence au début: 59919 vs 60102)
glimmer	Cluster 25	CM017449.1ANTONOSPOR:c(104871-108473); CM017449.1:104871-108500(-)	Différent (Différence au début: 108473 vs 108500)
glimmer	Cluster 26	CM017457.1ANTONOSPOR:122059-125631; CM017457.1:122057-125629(+)	OK
glimmer	Cluster 27	CM017450.1ANTONOSPOR:c(100387-103935); CM017450.1:100387-103833(-)	Différent (Différence au début: 103935 vs 103833)
glimmer	Cluster 28	CM017459.1ANTONOSPOR:c(103692-107192); CM017459.1:103692-107219(-)	Différent (Différence au début: 107192 vs 107219)
glimmer	Cluster 29	CM017450.1ANTONOSPOR:104624-108118; CM017450.1:104660-108118(+)	Différent (Différence au début: 104624 vs 104660)
glimmer	Cluster 30	CM017447.1ANTONOSPOR:c(54969-58427); CM017447.1:54969-58427(-)	OK
glimmer	Cluster 31	CM017447.1ANTONOSPOR:c(241579-244971); CM017447.1:241579-244971(-)	OK
glimmer	Cluster 32	CM017457.1ANTONOSPOR:104397-107681; CM017457.1:104395-107679(+)	OK
glimmer	Cluster 33	CM017447.1ANTONOSPOR:204449-207700; CM017447.1:204449-207700(+)	OK
glimmer	Cluster 34	CM017453.1ANTONOSPOR:75388-78636; CM017453.1:75386-78634(+)	OK
glimmer	Cluster 35	CM017454.1ANTONOSPOR:145763-148996; CM017454.1:145988-148996(+)	Différent (Différence au début: 145763 vs 145988)
glimmer	Cluster 36	CM017450.1ANTONOSPOR:191758-194952; CM017450.1:191758-194952(+)	OK
glimmer	Cluster 37	CM017449.1ANTONOSPOR:164767-167940; CM017449.1:164767-167940(+)	OK
glimmer	Cluster 38	CM017447.1ANTONOSPOR:c(219315-222452); CM017447.1:219315-222452(-)	OK
glimmer	Cluster 39	CM017451.1ANTONOSPOR:c(25053-28172); CM017451.1:25053-28172(-)	OK
glimmer	Cluster 40	CM017447.1ANTONOSPOR:c(179644-182757); CM017447.1:179644-182757(-)	OK
glimmer	Cluster 41	CM017459.1ANTONOSPOR:109411-112518; CM017459.1:109435-112518(+)	Différent (Différence au début: 109411 vs 109435)
glimmer	Cluster 42	CM017451.1ANTONOSPOR:164451-167552; CM017451.1:164451-167552(+)	OK
glimmer	Cluster 43	CM017448.1ANTONOSPOR:c(66876-69947); CM017448.1:66876-69947(-)	OK
glimmer	Cluster 44	CM017449.1ANTONOSPOR:250892-253924; CM017449.1:250892-253924(+)	OK
glimmer	Cluster 45	CM017455.1ANTONOSPOR:163581-166598; CM017449.1:130251-132572(-); CM017455.1:163581-166598(+)	OK
glimmer	Cluster 46	CM017460.1ANTONOSPOR:c(7938-10952); CM017460.1:7938-10937(-)	Différent (Différence au début: 10952 vs 10937)
