Outil	Cluster	Gènes	État AA
glimmer	Cluster 0	ABGB01000004:65981-72691; NW_001849444.1:8878-15588(-)	OK
glimmer	Cluster 1	ABGB01000016:c(25795-31158); NW_003102064.1:25795-31158(-)	OK
glimmer	Cluster 2	ABGB01000025:25811-30820; NW_003102073.1:25811-30820(+)	OK
glimmer	Cluster 3	ABGB01000005:4224-8849; NW_001849445.1:4224-8849(+)	OK
glimmer	Cluster 4	ABGB01000001:c(103286-107893); NW_001849444.1:96198-100811(+)	Différent (Différence au début: 103286 vs 96198, Différence à la fin: 107893 vs 100811)
glimmer	Cluster 5	ABGB01000039:7446-11795; NW_003102087.1:7446-11795(+)	OK
glimmer	Cluster 6	ABGB01000001:c(32725-36915); NW_001849444.1:167182-171372(+)	OK
glimmer	Cluster 7	ABGB01000020:c(14768-18835); NW_003102068.1:14768-18835(-)	OK
glimmer	Cluster 8	ABGB01000040:c(7154-11149); NW_003102088.1:7154-11149(-)	OK
glimmer	Cluster 9	ABGB01000021:c(13325-17305); NW_003102069.1:13325-17305(-)	OK
glimmer	Cluster 10	ABGB01000016:c(17062-20874); NW_003102064.1:17062-20874(-)	OK
glimmer	Cluster 11	ABGB01000003:30494-34249; NW_001849445.1:74016-77675(+)	Différent (Différence au début: 30494 vs 74016, Différence à la fin: 34249 vs 77675)
glimmer	Cluster 12	ABGB01000018:5969-9511; NW_003102066.1:6443-9511(+)	Différent (Différence au début: 5969 vs 6443)
glimmer	Cluster 13	ABGB01000025:5214-8744; NW_003102073.1:5214-8744(+)	OK
glimmer	Cluster 14	ABGB01000005:c(25196-28720); NW_001849445.1:25196-28720(-)	OK
glimmer	Cluster 15	ABGB01000022:c(12231-15710); NW_003102070.1:12231-15710(-)	OK
glimmer	Cluster 16	ABGB01000017:c(80821-84252); NW_003102065.1:80821-84252(-)	OK
glimmer	Cluster 17	ABGB01000001:c(93287-96715); NW_001849444.1:107382-110810(+)	OK
glimmer	Cluster 18	ABGB01000003:c(50308-53724); NW_001849445.1:93734-97150(-)	OK
glimmer	Cluster 19	ABGB01000015:c(78700-82026); NW_003102063.1:78700-82026(-)	OK
glimmer	Cluster 20	ABGB01000016:c(104797-108120); NW_003102064.1:104797-108120(-)	OK
glimmer	Cluster 21	ABGB01000036:c(10165-13452); NW_003102084.1:10165-13452(-)	OK
glimmer	Cluster 22	ABGB01000018:17523-20771; NW_003102066.1:17523-20771(+)	OK
glimmer	Cluster 23	ABGB01000015:47217-50420; NW_003102063.1:47217-50420(+)	OK
glimmer	Cluster 24	ABGB01000005:c(19029-22229); NW_001849445.1:19029-22229(-)	OK
glimmer	Cluster 25	ABGB01000018:c(586-3774); NW_003102066.1:586-3774(-)	OK
glimmer	Cluster 26	ABGB01000033:c(17918-21076); NW_003102081.1:17918-21076(-)	OK
glimmer	Cluster 27	ABGB01000017:6580-9714; NW_003102065.1:6580-9714(+)	OK
glimmer	Cluster 28	ABGB01000014:c(71053-74139); NW_003102062.1:71053-74139(-)	OK
glimmer	Cluster 29	ABGB01000014:75013-78066; NW_003102062.1:75013-78066(+)	OK
glimmer	Cluster 30	ABGB01000016:87852-90857; NW_003102064.1:87852-90857(+)	OK
glimmer	Cluster 31	ABGB01000015:10118-13114; NW_003102063.1:10118-13114(+)	OK
glimmer	Cluster 32	ABGB01000037:1514-4489; NW_003102085.1:1514-4489(+)	OK
glimmer	Cluster 33	ABGB01000002:c(67132-70041); NW_001849446.1:85036-87945(-)	OK
glimmer	Cluster 34	ABGB01000001:c(38913-41819); NW_001849444.1:162278-165184(+)	OK
glimmer	Cluster 35	ABGB01000006:1831-4716; NW_001849446.1:7873-10758(+)	OK
glimmer	Cluster 36	ABGB01000023:c(25656-28541); NW_003102071.1:25656-28541(-)	OK
glimmer	Cluster 37	ABGB01000039:12748-15609; NW_003102087.1:12748-15609(+)	OK
glimmer	Cluster 38	ABGB01000020:21241-24099; NW_003102068.1:21241-24099(+)	OK
