Outil	Cluster	Gènes	État AA
glimmer	Cluster 0	AL590445:72178-82488; AL590445.1:72178-82488(+)	OK
glimmer	Cluster 1	AL590449:c(78933-88388); AL590449.1:78933-88388(-)	OK
glimmer	Cluster 2	AL590448:204619-213117; AL590448.1:204619-213117(+)	OK
glimmer	Cluster 3	AL590449:188662-195894; AL590449.1:188662-195894(+)	OK
glimmer	Cluster 4	AL590444:81307-88422; AL590444.1:81283-88422(+)	Différent (Différence au début: 81307 vs 81283)
glimmer	Cluster 5	AL590444:c(94657-100650); AL590444.1:94657-100650(-)	OK
glimmer	Cluster 6	AL590442:130217-135634; AL590442.1:130217-135634(+)	OK
glimmer	Cluster 7	AL590449:163070-168457; AL590449.1:163058-168457(+)	Différent (Différence au début: 163070 vs 163058)
glimmer	Cluster 8	AL590444:128867-133906; AL590444.1:128867-133906(+)	OK
glimmer	Cluster 9	AL590443:c(33938-38737); AL590443.1:33938-38737(-)	OK
glimmer	Cluster 10	AL590447:164834-169522; AL590447.1:164834-169522(+)	OK
glimmer	Cluster 11	AL590446:123319-127755; AL590446.1:123319-127755(+)	OK
glimmer	Cluster 12	AL590450:c(172085-176470); AL590450.2:172085-176470(-)	OK
glimmer	Cluster 13	AL590450:c(61074-65312); AL590450.2:61074-65312(-)	OK
glimmer	Cluster 14	AL590444:c(176560-180747); AL590444.1:176560-180747(-)	OK
glimmer	Cluster 15	AL590445:c(122055-126068); AL590445.1:122055-126068(-)	OK
glimmer	Cluster 16	AL590447:17131-21102; AL590447.1:17131-21102(+)	OK
glimmer	Cluster 17	AL590447:10241-14191; AL590447.1:10241-14191(+)	OK
glimmer	Cluster 18	AL590443:c(179583-183353); AL590443.1:179583-183353(-)	OK
glimmer	Cluster 19	AL590450:c(183117-186887); AL590450.2:183117-186770(-)	Différent (Différence au début: 186887 vs 186770)
glimmer	Cluster 20	AL391737:c(46982-50737); AL391737.2:46982-50668(-)	Différent (Différence au début: 50737 vs 50668)
glimmer	Cluster 21	AL590447:c(78931-82674); AL590447.1:78931-82674(-)	OK
glimmer	Cluster 22	AL590443:61776-65507; AL590443.1:61776-65507(+)	OK
glimmer	Cluster 23	AL391737:112760-116485; AL391737.2:112760-116485(+)	OK
glimmer	Cluster 24	AL590444:121108-124596; AL590444.1:121108-124596(+)	OK
glimmer	Cluster 25	AL590450:c(83037-86507); AL590450.2:83037-86507(-)	OK
glimmer	Cluster 26	AL590444:42002-45436; AL590444.1:42002-45436(+)	OK
glimmer	Cluster 27	AL590447:c(173167-176592); AL590447.1:173167-176607(-)	Différent (Différence au début: 176592 vs 176607)
glimmer	Cluster 28	AL590449:26605-30030; AL590449.1:26605-30030(+)	OK
glimmer	Cluster 29	AL590451:c(10041-13454); AL590451.2:10041-13454(-)	OK
glimmer	Cluster 30	AL590450:c(49867-53199); AL590450.2:49867-53199(-)	OK
glimmer	Cluster 31	AL590447:87227-90544; AL590447.1:87206-90544(+)	Différent (Différence au début: 87227 vs 87206)
glimmer	Cluster 32	AL590451:222916-226227; AL590451.2:222940-226227(+)	Différent (Différence au début: 222916 vs 222940)
glimmer	Cluster 33	AL590451:c(161728-165012); AL590451.2:161728-165012(-)	OK
glimmer	Cluster 34	AL590451:c(239362-242610); AL590451.2:239362-242610(-)	OK
glimmer	Cluster 35	AL590445:142111-145302; AL590445.1:142111-145302(+)	OK
glimmer	Cluster 36	AL590449:149742-152933; AL590449.1:149742-152933(+)	OK
glimmer	Cluster 37	AL590449:c(57458-60637); AL590449.1:57458-60637(-)	OK
glimmer	Cluster 38	AL590447:104955-108131; AL590447.1:104955-108131(+)	OK
glimmer	Cluster 39	AL590443:54192-57344; AL590443.1:54192-57344(+)	OK
glimmer	Cluster 40	AL590449:c(156082-159204); AL590449.1:156082-159204(-)	OK
glimmer	Cluster 41	AL590449:c(238382-241465); AL590449.1:238382-241465(-)	OK
glimmer	Cluster 42	AL590450:250754-253831; AL590450.2:250754-253831(+)	OK
