Outil	Cluster	Gènes	État AA
glimmer	Cluster 0	AKIJ01000003.1NEMATO:c(493361-503122); AKIJ01000003.1:493361-503065(-)	Différent (Différence au début: 503122 vs 503065)
glimmer	Cluster 1	AKIJ01000007.1NEMATO:24689-34420; AKIJ01000007.1:24554-34420(+)	Différent (Différence au début: 24689 vs 24554)
glimmer	Cluster 2	AKIJ01000004.1NEMATO:c(462444-471329); AKIJ01000004.1:462448-471333(-)	OK
glimmer	Cluster 3	AKIJ01000014.1NEMATO:c(2127-10976); AKIJ01000014.1:2127-10976(-)	OK
glimmer	Cluster 4	AKIJ01000002.1NEMATO:838090-845922	Gène non prédit
glimmer	Cluster 5	AKIJ01000004.1NEMATO:c(405666-413081); AKIJ01000004.1:405670-412626(-)	Différent (Différence au début: 413081 vs 412626)
glimmer	Cluster 6	AKIJ01000005.1NEMATO:196545-203324; AKIJ01000005.1:196497-203324(+)	Différent (Différence au début: 196545 vs 196497)
glimmer	Cluster 7	AKIJ01000003.1NEMATO:c(406175-412201); AKIJ01000003.1:406175-412090(-)	Différent (Différence au début: 412201 vs 412090)
glimmer	Cluster 8	AKIJ01000004.1NEMATO:549913-555795; AKIJ01000004.1:549917-555799(+)	OK
glimmer	Cluster 9	AKIJ01000002.1NEMATO:c(13093-18612); AKIJ01000002.1:13093-18612(-)	OK
glimmer	Cluster 10	AKIJ01000004.1NEMATO:c(377495-383002); AKIJ01000004.1:377499-383006(-)	OK
glimmer	Cluster 11	AKIJ01000001.1NEMATO:c(521340-526796); AKIJ01000001.1:521340-526796(-)	OK
glimmer	Cluster 12	AKIJ01000003.1NEMATO:c(608501-613402); AKIJ01000003.1:608501-613420(-)	Différent (Différence au début: 613402 vs 613420)
glimmer	Cluster 13	AKIJ01000002.1NEMATO:680752-685581; AKIJ01000002.1:680752-685581(+)	OK
glimmer	Cluster 14	AKIJ01000004.1NEMATO:c(721967-726727); AKIJ01000004.1:721971-726731(-)	OK
glimmer	Cluster 15	AKIJ01000001.1NEMATO:444891-449609; AKIJ01000001.1:444891-449609(+)	OK
glimmer	Cluster 16	AKIJ01000001.1NEMATO:c(175133-179662); AKIJ01000001.1:175133-179674(-)	Différent (Différence au début: 179662 vs 179674)
glimmer	Cluster 17	AKIJ01000002.1NEMATO:847959-852416; AKIJ01000002.1:847959-852416(+)	OK
glimmer	Cluster 18	AKIJ01000006.1NEMATO:c(42471-46907); AKIJ01000006.1:42471-46907(-)	OK
glimmer	Cluster 19	AKIJ01000007.1NEMATO:c(47772-52175); AKIJ01000007.1:47772-52175(-)	OK
glimmer	Cluster 20	AKIJ01000005.1NEMATO:c(677950-682347); AKIJ01000005.1:677950-682347(-)	OK
glimmer	Cluster 21	AKIJ01000003.1NEMATO:c(228132-232490); AKIJ01000003.1:228132-232490(-)	OK
glimmer	Cluster 22	AKIJ01000002.1NEMATO:c(391966-396285); AKIJ01000002.1:391966-396285(-)	OK
glimmer	Cluster 23	AKIJ01000004.1NEMATO:669133-673314; AKIJ01000004.1:669137-673318(+)	OK
glimmer	Cluster 24	AKIJ01000001.1NEMATO:162911-167050; AKIJ01000001.1:162911-167050(+)	OK
glimmer	Cluster 25	AKIJ01000003.1NEMATO:c(452318-456430); AKIJ01000003.1:452318-456322(-)	Différent (Différence au début: 456430 vs 456322)
glimmer	Cluster 26	AKIJ01000004.1NEMATO:489338-493405; AKIJ01000004.1:489342-493409(+)	OK
glimmer	Cluster 27	AKIJ01000005.1NEMATO:c(449817-453836); AKIJ01000005.1:449817-453836(-)	OK
glimmer	Cluster 28	AKIJ01000002.1NEMATO:c(832428-836441); AKIJ01000002.1:832428-836339(-); AKIJ01000004.1:770717-771892(-)	Différent (Différence au début: 836441 vs 836339) (Différence au début: 836441 vs 836339, Différence au début: 836339 vs 771892)
glimmer	Cluster 29	AKIJ01000004.1NEMATO:c(520442-524392); AKIJ01000004.1:520446-524396(-)	OK
glimmer	Cluster 30	AKIJ01000003.1NEMATO:249222-253058; AKIJ01000003.1:249222-253058(+)	OK
glimmer	Cluster 31	AKIJ01000003.1NEMATO:c(13711-17517); AKIJ01000003.1:13711-17517(-)	OK
glimmer	Cluster 32	AKIJ01000001.1NEMATO:c(421286-425059); AKIJ01000001.1:421286-425059(-)	OK
glimmer	Cluster 33	AKIJ01000005.1NEMATO:c(286096-289863); AKIJ01000005.1:286096-289932(-)	Différent (Différence au début: 289863 vs 289932)
glimmer	Cluster 34	AKIJ01000005.1NEMATO:505584-509318; AKIJ01000005.1:505584-509318(+)	OK
glimmer	Cluster 35	AKIJ01000004.1NEMATO:55260-58931; AKIJ01000004.1:55260-58931(+)	OK
glimmer	Cluster 36	AKIJ01000005.1NEMATO:264493-268143; AKIJ01000005.1:264493-268143(+)	OK
glimmer	Cluster 37	AKIJ01000005.1NEMATO:c(540881-544462); AKIJ01000005.1:540881-544462(-)	OK
